Compound	Date	Repeat	Replicate	log_D	log_chx	log_pbs
SAMPL5_060	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-3.71	3.15	6.87
SAMPL5_060	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-3.83	3.08	6.91
SAMPL5_060	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-3.68	3.24	6.91
SAMPL5_060	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-3.79	3.06	6.85
SAMPL5_060	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-3.64	3.25	6.89
SAMPL5_060	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-3.98	2.93	6.91
SAMPL5_060	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-3.87	2.54	6.41
SAMPL5_060	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-4.17	2.07	6.24
SAMPL5_060	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-3.68	2.53	6.20
SAMPL5_060	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-4.52	1.87	6.38
SAMPL5_060	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-4.63	1.62	6.26
SAMPL5_060	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-3.67	2.53	6.20
SAMPL5_061	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-0.58	4.80	5.38
SAMPL5_061	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-0.64	4.84	5.47
SAMPL5_061	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-0.55	4.94	5.49
SAMPL5_061	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-0.59	4.81	5.40
SAMPL5_061	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-0.57	4.91	5.48
SAMPL5_061	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-0.56	4.93	5.49
SAMPL5_061	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.23	3.27	5.50
SAMPL5_061	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.24	3.10	5.34
SAMPL5_061	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.40	3.05	5.44
SAMPL5_061	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.29	3.11	5.40
SAMPL5_061	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.36	3.01	5.37
SAMPL5_061	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.46	3.05	5.51
SAMPL5_063	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-2.94	2.20	5.14
SAMPL5_063	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-3.66	1.59	5.24
SAMPL5_063	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-2.94	2.32	5.27
SAMPL5_063	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-3.61	1.62	5.24
SAMPL5_063	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-2.68	2.66	5.34
SAMPL5_063	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-3.07	2.28	5.35
SAMPL5_065	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.66	4.79	4.13
SAMPL5_065	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.56	4.60	4.04
SAMPL5_065	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.86	4.77	3.91
SAMPL5_065	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.67	4.89	4.22
SAMPL5_065	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.49	4.61	4.12
SAMPL5_065	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.89	4.80	3.91
SAMPL5_067	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.26	4.81	6.08
SAMPL5_067	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.51	4.50	6.01
SAMPL5_067	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.08	4.63	5.71
SAMPL5_067	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.25	4.84	6.08
SAMPL5_067	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.54	4.45	5.99
SAMPL5_067	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.04	4.68	5.72
SAMPL5_068	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.34	5.62	4.29
SAMPL5_068	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.19	5.45	4.26
SAMPL5_068	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.66	5.61	3.95
SAMPL5_068	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.36	5.65	4.28
SAMPL5_068	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.24	5.40	4.16
SAMPL5_068	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.77	5.61	3.84
SAMPL5_069	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.25	5.09	6.34
SAMPL5_069	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.68	4.65	6.33
SAMPL5_069	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-0.85	4.99	5.84
SAMPL5_069	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.21	5.10	6.30
SAMPL5_069	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.49	4.84	6.33
SAMPL5_069	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.03	4.99	6.01
SAMPL5_070	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.70	6.01	4.31
SAMPL5_070	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.27	5.71	4.43
SAMPL5_070	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.80	5.85	4.05
SAMPL5_070	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.70	6.01	4.31
SAMPL5_070	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.35	5.68	4.34
SAMPL5_070	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.86	5.85	4.00
SAMPL5_071	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-0.17	5.17	5.34
SAMPL5_071	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-0.51	4.67	5.18
SAMPL5_071	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.47	4.90	4.43
SAMPL5_071	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-0.08	5.26	5.34
SAMPL5_071	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-0.32	4.81	5.13
SAMPL5_071	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.45	4.89	4.44
SAMPL5_072	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.73	6.82	6.10
SAMPL5_072	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.32	6.41	6.09
SAMPL5_072	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.84	6.62	5.77
SAMPL5_072	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.66	6.84	6.17
SAMPL5_072	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.47	6.44	5.97
SAMPL5_072	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.75	6.60	5.85
SAMPL5_074	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.75	3.70	5.45
SAMPL5_074	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.18	3.17	5.34
SAMPL5_074	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.71	3.51	5.23
SAMPL5_074	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.02	3.53	5.54
SAMPL5_074	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.13	3.17	5.29
SAMPL5_074	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.83	3.32	5.15
SAMPL5_075	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.86	3.38	6.24
SAMPL5_075	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.88	3.27	6.15
SAMPL5_075	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.53	3.23	5.77
SAMPL5_075	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.68	3.53	6.21
SAMPL5_075	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.90	3.09	5.99
SAMPL5_075	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.73	3.39	6.13
SAMPL5_080	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.16	3.86	6.02
SAMPL5_080	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.41	3.43	5.83
SAMPL5_080	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.33	3.69	6.02
SAMPL5_080	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.03	3.74	5.77
SAMPL5_080	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.05	3.64	5.69
SAMPL5_080	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.20	3.62	5.82
SAMPL5_081	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.21	3.01	5.22
SAMPL5_081	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.26	2.76	5.01
SAMPL5_081	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.96	2.90	4.86
SAMPL5_081	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.25	2.96	5.21
SAMPL5_081	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.06	2.88	4.94
SAMPL5_081	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.41	2.58	4.98
SAMPL5_082	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	2.38	5.17	2.79
SAMPL5_082	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	2.52	4.84	2.33
SAMPL5_082	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	2.87	5.11	2.24
SAMPL5_082	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	2.29	5.16	2.87
SAMPL5_082	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	2.22	4.75	2.53
SAMPL5_082	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	2.80	5.16	2.36
SAMPL5_083	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.70	4.22	5.93
SAMPL5_083	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.12	3.68	5.80
SAMPL5_083	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.05	3.93	5.98
SAMPL5_083	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.69	4.23	5.92
SAMPL5_083	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.18	3.43	5.60
SAMPL5_083	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.04	3.87	5.91
SAMPL5_084	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.01	4.87	4.85
SAMPL5_084	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-0.07	4.57	4.64
SAMPL5_084	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-0.06	4.85	4.91
SAMPL5_084	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.08	4.99	4.91
SAMPL5_084	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-0.05	4.66	4.72
SAMPL5_084	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-0.04	4.94	4.99
SAMPL5_085	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.05	3.33	5.38
SAMPL5_085	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.54	2.60	5.14
SAMPL5_085	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.38	2.91	5.29
SAMPL5_085	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.06	3.27	5.34
SAMPL5_085	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.38	2.70	5.08
SAMPL5_085	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.24	2.93	5.17
SAMPL5_086	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.77	6.58	5.81
SAMPL5_086	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.47	6.19	5.72
SAMPL5_086	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.67	6.48	5.82
SAMPL5_086	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.85	6.64	5.79
SAMPL5_086	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.61	6.18	5.57
SAMPL5_086	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.77	6.56	5.79
SAMPL5_086	150925-STD-wk39-BAS-03-A-CHXPBS.wiff	3	A	0.71	6.55	5.84
SAMPL5_086	150925-STD-wk39-BAS-03-B-CHXPBS.wiff	3	B	0.43	6.16	5.73
SAMPL5_086	150925-STD-wk39-BAS-03-C-CHXPBS.wiff	3	C	0.59	6.48	5.88
SAMPL5_086	150925-STD-wk39-BAS-04-A-CHXPBS.wiff	4	A	0.89	6.68	5.79
SAMPL5_086	150925-STD-wk39-BAS-04-B-CHXPBS.wiff	4	B	0.58	6.27	5.69
SAMPL5_086	150925-STD-wk39-BAS-04-C-CHXPBS.wiff	4	C	0.68	6.53	5.85
SAMPL5_088	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.76	4.36	6.12
SAMPL5_088	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.87	3.94	5.80
SAMPL5_088	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.11	4.12	6.23
SAMPL5_088	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.74	4.41	6.15
SAMPL5_088	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.08	3.96	6.04
SAMPL5_088	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.10	4.09	6.19
SAMPL5_090	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.80	3.75	2.94
SAMPL5_090	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.64	3.53	2.89
SAMPL5_090	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.76	3.87	3.11
SAMPL5_090	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.79	3.78	2.99
SAMPL5_090	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.69	3.59	2.90
SAMPL5_090	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.80	3.90	3.10
SAMPL5_092	150925-STD-wk39-BAS-01-A-CHXPBS.wiff	1	A	-0.27	3.92	4.19
SAMPL5_092	150925-STD-wk39-BAS-01-B-CHXPBS.wiff	1	B	-0.51	3.51	4.01
SAMPL5_092	150925-STD-wk39-BAS-01-C-CHXPBS.wiff	1	C	-0.38	3.83	4.21
SAMPL5_092	150925-STD-wk39-BAS-02-A-CHXPBS.wiff	2	A	-0.31	3.91	4.22
SAMPL5_092	150925-STD-wk39-BAS-02-B-CHXPBS.wiff	2	B	-0.47	3.54	4.01
SAMPL5_092	150925-STD-wk39-BAS-02-C-CHXPBS.wiff	2	C	-0.50	3.74	4.24
